Index,Type,CycleIdx,Combined,Bias,Dprime,AUC,Robust,Std
105,Inverted,51,0.09703739925951411,0.0050000000000000044,2.740557365553828,0.0,0.005,0.7431486032396235
95,Inverted,41,0.09420297157444726,0.010000000000000009,2.504110797986001,0.0,0.01,0.6382912437038567
62,Inverted,8,0.0936212586373738,0.010000000000000009,2.486770955964523,0.0,0.01,0.8418647576123819
85,Inverted,31,0.09225210923218351,0.0,2.7498735171368613,0.0,0.0,0.44007031856401324
60,Inverted,6,0.09121523013296778,0.0,2.718965970424516,0.0,0.0,0.7949259797665027
58,Inverted,4,0.09049225709034944,0.0050000000000000044,2.5454581611379936,0.0,0.005,0.8641625782316693
88,Inverted,34,0.09040040559054786,0.0050000000000000044,2.5427202290851016,0.0,0.005,0.7275666150901973
56,Inverted,2,0.08908057177420162,0.0050000000000000044,2.5033782987075788,0.0,0.005,1.0409303679959856
84,Inverted,30,0.0868886539119924,0.0050000000000000044,2.4380410730203246,0.0,0.005,0.8059701353901143
67,Inverted,13,0.08196717059165334,0.0,2.4432975414939673,0.0,0.0,0.8669818166051488
